mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_subsample,param_min_child_weight,param_max_depth,param_gamma,param_colsample_bytree,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
1.812384557723999,0.019358762269752666,0.015359115600585938,0.0004884609249461174,0.8,10,4,1.5,0.6,"{'subsample': 0.8, 'min_child_weight': 10, 'max_depth': 4, 'gamma': 1.5, 'colsample_bytree': 0.6}",0.9002418027799384,0.8829392794594624,0.8895299925395641,0.8957192517795067,0.8993795729183909,0.8935619798953726,0.006514858876770884,29
1.447726583480835,0.008776484841170797,0.011369752883911132,0.0004887725176658056,1.0,1,3,2,0.8,"{'subsample': 1.0, 'min_child_weight': 1, 'max_depth': 3, 'gamma': 2, 'colsample_bytree': 0.8}",0.8988720720434715,0.8790013862653905,0.8903210103864083,0.8963549081277933,0.8995722562489653,0.8928243266144058,0.007640877658753822,34
1.9742671012878419,0.019746476203137197,0.011569738388061523,0.0004886170393090324,0.8,10,3,5,1.0,"{'subsample': 0.8, 'min_child_weight': 10, 'max_depth': 3, 'gamma': 5, 'colsample_bytree': 1.0}",0.8993674502769885,0.8791396159727403,0.8873017825679772,0.8939877503724549,0.8982254593610329,0.8916044117102387,0.0075321589637386745,47
1.554889440536499,0.012915109832786728,0.011768960952758789,0.0007467735545181242,0.6,10,3,1,0.6,"{'subsample': 0.6, 'min_child_weight': 10, 'max_depth': 3, 'gamma': 1, 'colsample_bytree': 0.6}",0.8985969354010911,0.8800404239220729,0.8877105192145907,0.8934275782155273,0.8983618606191028,0.891627463474477,0.007025211667165424,46
1.9198642730712892,0.008102384103770687,0.014561033248901368,0.0007980347961814077,0.6,10,4,1,0.6,"{'subsample': 0.6, 'min_child_weight': 10, 'max_depth': 4, 'gamma': 1, 'colsample_bytree': 0.6}",0.8989362265009497,0.8827150695513686,0.8880709746715557,0.8959980135739116,0.9002019533189869,0.8931844475233547,0.00672309426746458,32
1.851247215270996,0.018684144552366822,0.017154216766357422,0.0003989935313048969,1.0,5,5,1.5,0.6,"{'subsample': 1.0, 'min_child_weight': 5, 'max_depth': 5, 'gamma': 1.5, 'colsample_bytree': 0.6}",0.9016075651994477,0.8828255210400164,0.8913957628957073,0.8981420294653203,0.9001476576725708,0.8948237072546126,0.006943827675432789,10
1.426383876800537,0.008973729147198671,0.010970783233642579,2.3360154559928684e-07,1.0,1,3,0.5,0.8,"{'subsample': 1.0, 'min_child_weight': 1, 'max_depth': 3, 'gamma': 0.5, 'colsample_bytree': 0.8}",0.89856783441007,0.8785582575384794,0.890399715339397,0.8965323621916901,0.8995484191359047,0.8927213177231081,0.007762695954815067,36
1.7596924781799317,0.05977500574617429,0.011569452285766602,0.001352775297695697,1.0,10,3,1.5,1.0,"{'subsample': 1.0, 'min_child_weight': 10, 'max_depth': 3, 'gamma': 1.5, 'colsample_bytree': 1.0}",0.8986194225305164,0.8784253189204061,0.8891291925268654,0.8958450587651051,0.8981023009435525,0.8920242587372892,0.007594074899276638,45
2.602437686920166,0.024870105780354375,0.013962697982788087,1.784161275279017e-07,0.8,5,4,2,1.0,"{'subsample': 0.8, 'min_child_weight': 5, 'max_depth': 4, 'gamma': 2, 'colsample_bytree': 1.0}",0.9011604681555793,0.8843467092070245,0.8901834420652179,0.8980360867406059,0.9009144181426916,0.8949282248622238,0.0066153701221591905,7
2.711147975921631,0.024418317850214196,0.01795172691345215,0.0010926669845016592,0.8,5,5,5,0.8,"{'subsample': 0.8, 'min_child_weight': 5, 'max_depth': 5, 'gamma': 5, 'colsample_bytree': 0.8}",0.9012781948919825,0.8842104636581533,0.8905723371270444,0.8978381062737957,0.9010726700877338,0.8949943544077421,0.006638765456657609,4
2.1989174842834474,0.04009927197900056,0.012765979766845703,0.0007465061169234218,1.0,5,4,2,1.0,"{'subsample': 1.0, 'min_child_weight': 5, 'max_depth': 4, 'gamma': 2, 'colsample_bytree': 1.0}",0.9007563612120828,0.8834015883850007,0.8899426975031349,0.8985631517960603,0.8998973679854327,0.8945122333763423,0.006763517390388767,14
2.3038313388824463,0.008688800563771814,0.01835598945617676,0.000494996672895682,0.6,10,5,1.5,0.6,"{'subsample': 0.6, 'min_child_weight': 10, 'max_depth': 5, 'gamma': 1.5, 'colsample_bytree': 0.6}",0.8988700878849929,0.8833420636306397,0.8896093588787124,0.8975778844562159,0.8994921370634001,0.8937783063827922,0.0063135755245737,27
2.5050987720489504,0.006320025525069795,0.013563394546508789,0.0004886177373204444,0.8,5,4,0.5,1.0,"{'subsample': 0.8, 'min_child_weight': 5, 'max_depth': 4, 'gamma': 0.5, 'colsample_bytree': 1.0}",0.9011816325126853,0.8841139012788563,0.8904546103906412,0.8984082105611653,0.9006992219831153,0.8949715153452926,0.00665542284387005,5
2.785548448562622,0.013991478636091913,0.013563823699951173,0.0004888696636217089,0.6,1,4,5,1.0,"{'subsample': 0.6, 'min_child_weight': 1, 'max_depth': 4, 'gamma': 5, 'colsample_bytree': 1.0}",0.9012312364746531,0.8841595369238665,0.8906312004952459,0.8983512663466313,0.9008541632180103,0.8950454806916813,0.006647138143041545,3
2.3327591896057127,0.009096883302000367,0.01655573844909668,0.000488675026697694,1.0,1,5,0.5,0.8,"{'subsample': 1.0, 'min_child_weight': 1, 'max_depth': 5, 'gamma': 0.5, 'colsample_bytree': 0.8}",0.9012054424144299,0.8849922220987634,0.8903686301898973,0.8970256580036418,0.9008376096672737,0.8948859124748012,0.006296485012375574,9
